"com.aries.lesbianstories"	[[43, 10, 9, 1, 0, 1, 0, -0.6629766918888916]]
"com.artelplus.legosteps"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.aslingandastone.android.versed"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.asparagusprograms.kingsinthecorner"	[[8, 2, 2, 1, 0, 0, 0, 0.5441400304414004]]
"com.audioaddict.di"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.awesome.facts"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.aws.android"	[[110, 19, 18, 4, 0, 0, -2, -0.9258156627903484]]
"com.babycenter.pregnancytracker"	[[73, 12, 11, 2, 0, 2, 1, 0.9302121039731691]]
"com.base2apps.vibes"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.bb.iphone"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.bbmbbm.stupid1"	[[10, 1, 1, 1, 0, 0, 0, 0.5]]
"com.bbva.compass"	[[82, 17, 16, 4, 0, 0, -1, 0.7001149163265558]]
"com.beejive.im.fbchat"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.bengigi.noogranuts"	[[16, 2, 2, 1, 0, 1, 0, 0.5502070393374742]]
"com.bestappsmarket.android.bestapps"	[[296, 58, 44, 3, 0, 8, -1, -0.884798979356292]]
"com.bestcoolfungamesfreegamecreation.gogogoat"	[[50, 10, 10, 2, 2, 1, 2, 0.7266740779782469]]
"com.bigoven.android"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.bitwhiz.org.grenadier"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.blackboard.android"	[[14, 3, 3, 0, 0, 2, 0, -0.7690355329949237]]
"com.bladewififix"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.blizzard.bma"	[[30, 5, 5, 1, 0, 1, 1, 0.8465928340259485]]
"com.blockbuster.app.htc"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.bloomberg.android"	[[96, 21, 18, 7, 0, 2, 0, -0.8442911992750679]]
"com.bmt"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.bodybuilding"	[[144, 32, 29, 3, 0, 4, -2, -0.6832737227310676], [2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.boolbalabs.linkit"	[[103, 20, 19, 3, 0, 4, -2, -0.6661384493670403]]
"com.boolbalabs.smileyblaster"	[[150, 28, 24, 2, 3, 2, -1, 0.5301807807400468]]
"com.boom"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.botijasoftware.SakuraLive"	[[139, 26, 25, 3, 2, 2, 3, 0.9073964528196563]]
"com.breakapps.breakdotcom"	[[33, 5, 5, 1, 0, 1, 0, -0.8232392764498631]]
"com.brimpa.hypem"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.bungieinc.bungiemobile"	[[79, 12, 12, 3, 0, 1, -1, 0.8870399666277157]]
"com.busuu.android.pt"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.bwx.qs.battery"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.bytesequencing.android.euchre"	[[95, 20, 19, 2, 0, 0, -2, 0.7841145004555116]]
"com.bytesequencing.cribbage_ads"	[[49, 11, 11, 2, 0, 2, 0, 0.7123109863306615]]
"com.c2call.app.android.friendcaller"	[[2, 0, 0, 0, 0, 0, 0, 0.5], [25, 6, 6, 2, 0, 0, -1, 0.772727272727273]]
"com.calculator.mortgage"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.camelgames.flightdirectorlite"	[[44, 9, 9, 1, 0, 0, -1, -0.5629760250776703]]
"com.capcom.smurfsandroid"	[[66, 12, 12, 2, 0, 2, -1, 0.669158564597682]]
"com.capigami.outofmilk"	[[108, 26, 20, 0, 0, 4, 0, -0.9224662556222077]]
"com.cardinalcommerce.greendot"	[[108, 24, 24, 3, 0, 0, 0, -0.7162501541074423]]
"com.cc.betterkeyboard.skins.avatarslate"	[[54, 11, 11, 0, 0, 3, 1, 0.8946191681534653]]
"com.cct.giraffe"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.cdroid.darts"	[[93, 19, 19, 2, 0, 2, 0, 0.6865718694649264]]
"com.cg.android.weddingcountdown"	[[94, 19, 19, 0, 0, 2, 0, -0.8918597624599071]]
"com.chandroid"	[[22, 4, 4, 1, 1, 0, 1, 0.7132288102712426]]
"com.chaozh.iReader"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.chaozh.iReaderFree"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.chase.ccs.ink"	[[136, 26, 22, 1, 0, 2, -1, 0.9405795316920724]]
"com.chenyx.laserReflections"	[[2, 0, 0, 0, 0, 0, 0, 0.5], [68, 12, 12, 5, 0, 2, -3, 0.5348051687643988]]
"com.chickenbrickstudios.mm"	[[13, 2, 2, 1, 0, 0, 1, 0.75784645098986]]
"com.chingy1788.rockbandsonglist"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.choiceofgames.vampire"	[[19, 3, 3, 1, 0, 0, 0, 0.5922015079572884]]
"com.ciplogic.knight.demo"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.cis.idp"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.citc.aag"	[[125, 26, 24, 3, 0, 4, 1, 0.8664137963820612]]
"com.cke.happystarrewards"	[[123, 25, 22, 2, 0, 1, 1, -0.654909197268504], [2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.clapfootgames.vtt3dfree"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.clearcheckbook.app"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.cliqs.smslibrary"	[[18, 3, 3, 1, 0, 0, 0, -0.5612562189054724]]
"com.cmoshe.relationship.tips"	[[116, 27, 24, 2, 0, 4, 0, -0.6582214576044483]]
"com.cnbc.client"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.codethought.android.convertdroid"	[[18, 4, 4, 3, 0, 0, 1, 0.6189435411725117]]
"com.companionlink.clusbsync"	[[40, 7, 7, 3, 2, 0, 2, 0.9173216319208668]]
"com.cootek.smartdialer"	[[30, 5, 5, 2, 0, 1, -1, 0.5555013189041283]]
"com.corusen.accupedo.te"	[[92, 18, 17, 3, 4, 0, -2, 0.6089427416343292]]
"com.creativemobile.DragRacing"	[[25, 6, 6, 1, 0, 1, 0, 0.5507571436512785]]
"com.cremagames.instant"	[[21, 4, 4, 1, 0, 1, 1, 0.6021421670019979]]
"com.crossforward.audiobooks"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.crunchyroll.android.bleach"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.curvefish.widgets.brightnesslevel"	[[2, 0, 0, 0, 0, 0, 0, 0.5], [96, 18, 18, 4, 0, 1, -1, -0.7182631461530312]]
"com.curvefish.widgets.network2g3gonoff"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.cyandroid.piano"	[[56, 17, 13, 1, 0, 2, 1, 0.5483579976261583]]
"com.cyo.comicrack.viewer.free"	[[134, 25, 24, 3, 0, 3, -1, -0.5839557736614662]]
"com.darkdroiddevs.confucius"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.darshancomputing.BatteryIndicator"	[[150, 29, 26, 4, 0, 1, -1, 0.5896017719677786]]
"com.datpiff.mobile"	[[21, 5, 5, 1, 0, 2, 0, -0.5627415743364179], [62, 10, 10, 1, 4, 1, -1, 0.9532487327544964]]
"com.davidgoemans.simpleClockWidget"	[[109, 19, 19, 3, 0, 2, 2, 0.8214878855385521], [2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.dayspringtech.envelopes"	[[12, 3, 3, 0, 0, 1, 1, 0.6300328774955924]]
"com.dchoc.dollars"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.dchoc.dollarszeus"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.devexperts.tdmobile.platform.android.ameritrade"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.devexperts.tdmobile.platform.android.thinkorswim"	[[49, 11, 11, 2, 0, 0, 0, 0.8256194574014019]]
"com.dex"	[[28, 5, 5, 1, 0, 0, -1, 0.5]]
"com.dexetra.iris"	[[118, 25, 22, 2, 2, 1, -2, -0.5591582008156569]]
"com.dictionary"	[[15, 3, 3, 1, 0, 1, 1, 0.5543874175080524]]
"com.dictionary.flashcards"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.digitaloutcrop.mixology"	[[75, 15, 14, 2, 0, 1, 1, 0.7854502063618185]]
"com.dikkar.moodscanner"	[[38, 6, 6, 3, 2, 0, 2, 0.7606403263866452]]
"com.discolight"	[[12, 2, 2, 1, 0, 0, 0, -0.5003223657346714], [26, 5, 5, 1, 0, 0, 0, -0.5944387167508562]]
"com.discoverfinancial.mobile"	[[149, 24, 23, 3, 0, 1, -1, 0.7362917052403442]]
"com.dmf.wall.DolphinRainbowFree"	[[6, 1, 1, 1, 0, 0, 0, 0.5]]
"com.doapps.android.mln.MLN_0189caa552598b845b29b17a427692d1"	[[101, 20, 20, 2, 0, 2, 1, -0.5255711893248968], [98, 19, 19, 2, 0, 1, -1, -0.5276402238248916]]
"com.dogaplayer"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.dominickjohn.talkadroid"	[[96, 21, 19, 2, 0, 1, -2, 0.7508774936327615]]
"com.dragonplay.blackjack"	[[90, 17, 17, 2, 0, 0, -1, 0.6918145885429623]]
"com.driftwood.wallpaper.chinesezodiak.free"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.driftwood.wallpaper.easternglownight.free"	[[28, 4, 4, 0, 0, 2, 2, 0.6153008479016078]]
"com.driftwood.wallpaper.nightfall.free"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.drivesafe.ly"	[[106, 21, 18, 4, 0, 0, 1, 0.9591098223537308]]
"com.droiddevz.healing528hz"	[[123, 23, 22, 5, 0, 3, 2, 0.9171017836765082]]
"com.droidhen.basketball"	[[32, 7, 7, 1, 0, 0, -1, -0.544081451153846]]
"com.droidhen.duck2"	[[26, 5, 5, 1, 0, 0, 0, 0.6849677598923785], [98, 15, 15, 3, 0, 1, 0, 0.9718412178262672]]
"com.droidhen.game.balance"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.droidhen.game.superman"	[[2, 0, 0, 0, 0, 0, 0, 0.5], [9, 2, 2, 0, 0, 0, -1, -0.5058997050147493]]
"com.droidhen.gluttony"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.droidhen.soccer"	[[2, 0, 0, 0, 0, 0, 0, 0.5], [22, 4, 4, 2, 1, 1, 1, 0.6008914982505016]]
"com.droidmania.lockscreenwidget"	[[33, 7, 7, 1, 0, 1, -1, 0.6336141177765473]]
"com.dualboot.apps.beachfree"	[[109, 19, 17, 3, 0, 1, -1, 0.9004099525880822]]
"com.duckygo.fridgescrabble"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.duckygo.shoottheducks"	[[97, 18, 17, 0, 0, 3, -1, 0.7192771935123494]]
"com.dw.contacts.free"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.easy.currency.extra.androary"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.ebay.mobile"	[[119, 20, 19, 2, 0, 3, -1, 0.5738400485738274]]
"com.ed.mnc.playlab.hitsRbt"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.edubox.android.sstogether"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.efrac.Calendar2"	[[130, 27, 22, 1, 0, 2, -1, 0.805218278987849]]
