hasPrivacy,revlength,revSent,hasDeveloperWebsite,hasDeveloperEmail,installRange,avgRating,price
1,1251.0,5.0,1,1,7500000.0,4.603,0.0
1,1568.0,-3.0,1,1,3000000.0,4.253,0.0
1,1352.0,2.0,1,1,3000000.0,4.578,0.0
0,1579.0,-4.0,1,1,3000000.0,4.282,0.0
0,719.0,9.0,0,1,750000.0,4.287,0.0
1,1460.0,-2.0,1,1,7500000.0,4.494,0.0
0,1792.0,-12.0,1,1,3000000.0,2.845,0.0
1,1299.0,-3.0,1,1,3000000.0,4.458,0.0
0,791.0,9.0,1,1,3000000.0,4.264,0.0
1,1413.0,-4.0,1,1,3000000.0,4.309,0.0
1,1126.0,3.0,1,0,300000.0,4.38,0.0
0,1058.0,0.0,1,1,75000.0,3.035,0.0
0,860.0,-4.0,1,1,300000.0,4.732,0.0
1,483.0,-2.0,1,1,75000.0,4.325,0.0
1,572.0,-1.0,1,1,3000000.0,4.291,0.0
0,931.0,-3.0,1,1,30000000.0,4.367,0.0
1,824.0,-5.0,1,1,7500000.0,4.612,0.0
0,1731.0,-1.0,1,1,3000000.0,4.2,0.0
0,960.0,2.0,1,1,750000.0,4.594,0.0
1,1540.0,10.0,1,1,3000000.0,4.845,0.0
1,570.0,2.0,1,1,750000.0,4.208,0.0
0,1617.0,-4.0,1,1,3000000.0,4.391,0.0
1,1189.0,4.0,1,1,300000.0,3.965,0.0
0,914.0,-3.0,1,1,7500000.0,4.522,0.0
1,635.0,4.0,1,1,3000000.0,3.858,0.0
0,584.0,8.0,1,1,3000000.0,4.405,0.0
1,1693.0,-3.0,1,1,3000000.0,4.211,0.0
1,814.0,0.0,1,1,3000000.0,3.734,0.0
1,694.0,0.0,1,1,3000000.0,4.021,0.0
1,1274.0,1.0,1,1,300000.0,3.987,0.0
0,1194.0,-2.0,1,1,750000.0,4.126,0.0
1,1355.0,-2.0,1,1,3000000.0,3.771,0.0
1,931.0,0.0,1,1,300000.0,3.505,0.0
0,1188.0,-1.0,1,1,7500000.0,4.528,0.0
1,1776.0,-9.0,1,1,3000000.0,4.527,0.0
0,1640.0,-8.0,1,1,750000.0,3.603,0.0
1,1782.0,3.0,1,1,300000.0,4.227,0.0
0,939.0,3.0,1,1,3000000.0,4.038,0.0
